Land,Crop,Optimal Conditions
1,Potato,"(array([ 8.25671189, 11.776473  , 78.73990587, 95.3025831 ]), np.float64(64.21318331649168))"
1,Tomato,"(array([ 8.11856683, 11.33384727, 81.63707525, 89.10951594]), np.float64(67.26557128371326))"
1,Barley,"(array([ 8.16805613, 11.43005201, 84.23052116, 91.36765498]), np.float64(69.62666365053924))"
1,Corn,"(array([ 7.61013895,  9.65234493, 68.84155269, 67.40345283]), np.float64(52.858727162121376))"
1,Carrot,"(array([ 8.07741814, 11.10210901, 85.75050681, 90.24556864]), np.float64(65.59584976920543))"
2,Potato,"(array([ 8.30460424, 11.57202112, 78.48346069, 81.81747187]), np.float64(60.5956928605619))"
2,Tomato,"(array([ 8.24893366, 11.06821477, 84.50173995, 94.72755899]), np.float64(65.10603070240742))"
2,Barley,"(array([ 8.00072506, 11.75551123, 79.34447171, 86.92849495]), np.float64(63.50140777633542))"
2,Corn,"(array([ 8.23378881, 10.87127748, 78.30044807, 84.82916667]), np.float64(62.51534162914019))"
2,Carrot,"(array([ 8.12639435, 11.21268808, 81.79263712, 92.93724563]), np.float64(67.29818584276482))"
3,Potato,"(array([ 8.0873716 , 11.45118529, 81.40707028, 85.76949179]), np.float64(63.86578757286873))"
3,Tomato,"(array([ 8.43702493, 11.41229316, 81.87612593, 91.04197111]), np.float64(68.38120890132882))"
3,Barley,"(array([ 8.18887221, 11.21390397, 89.35038029, 92.3787881 ]), np.float64(67.31780037526525))"
3,Corn,"(array([ 8.17168251, 11.58804153, 79.60977912, 85.01804821]), np.float64(63.18784027662474))"
3,Carrot,"(array([ 8.35402401, 11.51833865, 83.68990734, 90.47099609]), np.float64(68.86236217409332))"
